lattice_type,representation,variant,L,bootstrap,Tc,chi_c
square,vertex,ec,128,89,2.286666287,1.841799512
square,vertex,ec,128,90,2.286616211,1.861153613
square,vertex,ec,128,91,2.286886646,1.843314278
square,vertex,ec,128,92,2.286746413,1.827446376
square,vertex,ec,128,93,2.286956769,1.837829544
square,vertex,ec,128,94,2.286916698,1.826622975
square,vertex,ec,128,95,2.286716365,1.82548986
square,vertex,ec,128,96,2.286796494,1.814819446
square,vertex,ec,128,97,2.286305791,1.841977443
square,vertex,ec,128,98,2.286816527,1.85830808
square,vertex,ec,128,99,2.286496039,1.865113748
square,vertex,ec,128,100,2.286956769,1.84452103
square,vertex,ec,128,101,2.286896663,1.842576155
square,vertex,ec,128,102,2.286986823,1.846326982
square,vertex,ec,128,103,2.28730745,1.834914443
square,vertex,ec,128,104,2.286455984,1.846989316
square,vertex,ec,128,105,2.286936734,1.857481324
square,vertex,ec,128,106,2.286275755,1.853717936
square,vertex,ec,128,107,2.286946751,1.828478287
square,vertex,ec,128,108,2.286796494,1.852806487
square,vertex,ec,128,109,2.286556123,1.834676173
square,vertex,ec,128,110,2.286926716,1.833667437
square,vertex,ec,128,111,2.287457774,1.842700949
square,vertex,ec,128,112,2.287056953,1.870193594
square,vertex,ec,128,113,2.286716365,1.833124695
square,vertex,ec,128,114,2.286716365,1.856134404
square,vertex,ec,128,115,2.286536095,1.833138538
square,vertex,ec,128,116,2.286776461,1.797043034
square,vertex,ec,128,117,2.287347534,1.830761554
square,vertex,ec,128,118,2.286656272,1.805531659
square,vertex,ec,128,119,2.286686318,1.843031615
square,vertex,ec,128,120,2.286786478,1.845497653
square,vertex,ec,128,121,2.286966787,1.821201348
square,vertex,ec,128,122,2.286586167,1.844897702
square,vertex,ec,128,123,2.286295779,1.87709977
square,vertex,ec,128,124,2.286856595,1.837768666
square,vertex,ec,128,125,2.286365866,1.826623065
square,vertex,ec,128,126,2.286756429,1.87257212
square,vertex,ec,128,127,2.286856595,1.868832621
square,vertex,ec,128,128,2.286496039,1.854843002
square,vertex,ec,128,129,2.286596182,1.864602949
square,vertex,ec,128,130,2.286896663,1.821827032
square,vertex,ec,128,131,2.286676302,1.860286614
square,vertex,ec,128,132,2.286325816,1.841682678
square,vertex,ec,128,133,2.286856595,1.85440603
square,vertex,ec,128,134,2.286295779,1.859782142
square,vertex,ec,128,135,2.286836561,1.817814639
square,vertex,ec,128,136,2.28707699,1.871879613
square,vertex,ec,128,137,2.286846578,1.838200816
square,vertex,ec,128,138,2.287147125,1.798505289
square,vertex,ec,128,139,2.286776461,1.874432518
square,vertex,ec,128,140,2.286926716,1.836266541
square,vertex,ec,128,141,2.287137106,1.841056621
square,vertex,ec,128,142,2.286876629,1.870133629
square,vertex,ec,128,143,2.286896663,1.824357495
square,vertex,ec,128,144,2.286946751,1.824326279
square,vertex,ec,128,145,2.287127086,1.833063052
square,vertex,ec,128,146,2.286425944,1.831215299
square,vertex,ec,128,147,2.286986823,1.853556251
