lattice_type,variant,L,bootstrap,Tc
triangular,ec,128,20,3.668887937
triangular,ec,128,21,3.667947456
triangular,ec,128,22,3.669168174
triangular,ec,128,23,3.668327592
triangular,ec,128,24,3.667717411
triangular,ec,128,25,3.669378379
triangular,ec,128,26,3.668567719
triangular,ec,128,27,3.669068084
triangular,ec,128,28,3.668197537
triangular,ec,128,29,3.670139325
triangular,ec,128,30,3.668297579
triangular,ec,128,31,3.66922823
triangular,ec,128,32,3.667907446
triangular,ec,128,33,3.6693984
triangular,ec,128,34,3.669078093
triangular,ec,128,35,3.669268269
triangular,ec,128,36,3.66887793
triangular,ec,128,37,3.668777856
triangular,ec,128,38,3.668217545
triangular,ec,128,39,3.668497679
triangular,ec,128,40,3.669258259
triangular,ec,128,41,3.669348349
triangular,ec,128,42,3.669348349
triangular,ec,128,43,3.669068084
triangular,ec,128,44,3.669588609
triangular,ec,128,45,3.668247557
triangular,ec,128,46,3.668467663
triangular,ec,128,47,3.668917961
triangular,ec,128,48,3.669408411
triangular,ec,128,49,3.668587731
triangular,ec,128,50,3.668857914
triangular,ec,128,51,3.669118128
triangular,ec,128,52,3.667417397
triangular,ec,128,53,3.669218221
triangular,ec,128,54,3.669298298
triangular,ec,128,55,3.669088102
triangular,ec,128,56,3.669218221
triangular,ec,128,57,3.667717411
triangular,ec,128,58,3.668757842
triangular,ec,128,59,3.668547707
triangular,ec,128,60,3.66887793
triangular,ec,128,61,3.669838914
triangular,ec,128,62,3.66902805
triangular,ec,128,63,3.668717814
triangular,ec,128,64,3.668777856
triangular,ec,128,65,3.668487673
triangular,ec,128,66,3.668937976
triangular,ec,128,67,3.668317588
triangular,ec,128,68,3.668497679
triangular,ec,128,69,3.669038059
triangular,ec,128,70,3.669408411
triangular,ec,128,71,3.669448453
triangular,ec,128,72,3.668637762
triangular,ec,128,73,3.668637762
triangular,ec,128,74,3.668247557
triangular,ec,128,75,3.668717814
triangular,ec,128,76,3.670219443
triangular,ec,128,77,3.668988017
triangular,ec,128,78,3.66806749
triangular,ec,128,79,3.668737828
triangular,ec,128,80,3.668697801
triangular,ec,128,81,3.66827757
triangular,ec,128,82,3.66861775
triangular,ec,128,83,3.668327592
triangular,ec,128,84,3.668667781
triangular,ec,128,85,3.668847907
triangular,ec,128,86,3.667747416
triangular,ec,128,87,3.668387621
triangular,ec,128,88,3.669488497
triangular,ec,128,89,3.668887937
triangular,ec,128,90,3.669088102
triangular,ec,128,91,3.669488497
triangular,ec,128,92,3.67005921
triangular,ec,128,93,3.669668703
triangular,ec,128,94,3.668998025
triangular,ec,128,95,3.667957458
triangular,ec,128,96,3.669598621
triangular,ec,128,97,3.668297579
triangular,ec,128,98,3.669268269
triangular,ec,128,99,3.668247557
triangular,ec,128,100,3.669608632
triangular,ec,128,101,3.66951853
triangular,ec,128,102,3.669448453
triangular,ec,128,103,3.668637762
triangular,ec,128,104,3.669408411
triangular,ec,128,105,3.668947984
triangular,ec,128,106,3.668677788
triangular,ec,128,107,3.667847433
triangular,ec,128,108,3.669698739
triangular,ec,128,109,3.667407397
triangular,ec,128,110,3.669888979
triangular,ec,128,111,3.669478486
triangular,ec,128,112,3.669268269
triangular,ec,128,113,3.668737828
triangular,ec,128,114,3.667987466
triangular,ec,128,115,3.667767419
triangular,ec,128,116,3.669618644
triangular,ec,128,117,3.670469833
triangular,ec,128,118,3.668817885
triangular,ec,128,119,3.667187419
triangular,ec,128,120,3.669118128
triangular,ec,128,121,3.668837899
triangular,ec,128,122,3.668968
triangular,ec,128,123,3.668187533
triangular,ec,128,124,3.668957992
triangular,ec,128,125,3.669328328
triangular,ec,128,126,3.66902805
triangular,ec,128,127,3.668667781
triangular,ec,128,128,3.669138146
triangular,ec,128,129,3.668337597
triangular,ec,128,130,3.667987466
triangular,ec,128,131,3.66923824
triangular,ec,128,132,3.667827429
triangular,ec,128,133,3.66887793
triangular,ec,128,134,3.669208211
triangular,ec,128,135,3.668547707
triangular,ec,128,136,3.667947456
triangular,ec,128,137,3.668487673
triangular,ec,128,138,3.667577399
triangular,ec,128,139,3.669949059
triangular,ec,128,140,3.668547707
triangular,ec,128,141,3.668637762
triangular,ec,128,142,3.668387621
triangular,ec,128,143,3.669798863
triangular,ec,128,144,3.669088102
triangular,ec,128,145,3.669328328
triangular,ec,128,146,3.669168174
triangular,ec,128,147,3.667787422
triangular,ec,128,148,3.669088102
triangular,ec,128,149,3.669658691
triangular,ec,128,150,3.668817885
triangular,ec,128,151,3.668547707
triangular,ec,128,152,3.66806749
triangular,ec,128,153,3.66951853
triangular,ec,128,154,3.668447652
triangular,ec,128,155,3.668087497
triangular,ec,128,156,3.669738788
triangular,ec,128,157,3.668317588
triangular,ec,128,158,3.668467663
triangular,ec,128,159,3.66923824
triangular,ec,128,160,3.668227549
triangular,ec,128,161,3.668247557
triangular,ec,128,162,3.66770741
triangular,ec,128,163,3.668357607
triangular,ec,128,164,3.669758813
triangular,ec,128,165,3.668697801
triangular,ec,128,166,3.668427641
triangular,ec,128,167,3.668957992
triangular,ec,128,168,3.668417636
triangular,ec,128,169,3.66938839
triangular,ec,128,170,3.668887937
triangular,ec,128,171,3.668727821
triangular,ec,128,172,3.669338338
triangular,ec,128,173,3.66902805
triangular,ec,128,174,3.669458464
triangular,ec,128,175,3.668307583
triangular,ec,128,176,3.668677788
triangular,ec,128,177,3.669058076
triangular,ec,128,178,3.668607743
triangular,ec,128,179,3.66910812
triangular,ec,128,180,3.667247411
triangular,ec,128,181,3.668007472
triangular,ec,128,182,3.669088102
triangular,ec,128,183,3.668727821
triangular,ec,128,184,3.66806749
triangular,ec,128,185,3.66777742
triangular,ec,128,186,3.669508519
triangular,ec,128,187,3.669168174
triangular,ec,128,188,3.670299564
triangular,ec,128,189,3.669038059
triangular,ec,128,190,3.670109281
triangular,ec,128,191,3.669408411
triangular,ec,128,192,3.66922823
