lattice_type,variant,L,bootstrap,Tc
triangular,m,128,78,3.666277789
triangular,m,128,79,3.666887491
triangular,m,128,80,3.666737546
triangular,m,128,81,3.666377727
triangular,m,128,82,3.666677571
triangular,m,128,83,3.666257802
triangular,m,128,84,3.666567622
triangular,m,128,85,3.666697562
triangular,m,128,86,3.665718241
triangular,m,128,87,3.666877494
triangular,m,128,88,3.6676074
triangular,m,128,89,3.666607603
triangular,m,128,90,3.666967467
triangular,m,128,91,3.667427397
triangular,m,128,92,3.668357607
triangular,m,128,93,3.667427397
triangular,m,128,94,3.666807519
triangular,m,128,95,3.665898077
triangular,m,128,96,3.667647404
triangular,m,128,97,3.666597608
triangular,m,128,98,3.667177421
triangular,m,128,99,3.666417703
triangular,m,128,100,3.667567398
triangular,m,128,101,3.667427397
triangular,m,128,102,3.667457396
triangular,m,128,103,3.666887491
triangular,m,128,104,3.667387398
triangular,m,128,105,3.666847505
triangular,m,128,106,3.666717554
triangular,m,128,107,3.666007986
triangular,m,128,108,3.667947456
triangular,m,128,109,3.665378599
triangular,m,128,110,3.667867437
triangular,m,128,111,3.667517396
triangular,m,128,112,3.667617401
triangular,m,128,113,3.666707558
triangular,m,128,114,3.66602797
triangular,m,128,115,3.665728232
triangular,m,128,116,3.667517396
triangular,m,128,117,3.668447652
triangular,m,128,118,3.666767534
triangular,m,128,119,3.665328657
triangular,m,128,120,3.666997459
triangular,m,128,121,3.666887491
triangular,m,128,122,3.667217415
triangular,m,128,123,3.666327757
triangular,m,128,124,3.66672755
triangular,m,128,125,3.667257409
triangular,m,128,126,3.667307404
triangular,m,128,127,3.666667575
triangular,m,128,128,3.666887491
triangular,m,128,129,3.66672755
triangular,m,128,130,3.666157872
triangular,m,128,131,3.667067442
triangular,m,128,132,3.66602797
triangular,m,128,133,3.666927479
triangular,m,128,134,3.667177421
triangular,m,128,135,3.666397715
triangular,m,128,136,3.665858112
triangular,m,128,137,3.666537637
triangular,m,128,138,3.66560835
triangular,m,128,139,3.66806749
triangular,m,128,140,3.666787526
triangular,m,128,141,3.666837508
triangular,m,128,142,3.666347745
triangular,m,128,143,3.667797424
triangular,m,128,144,3.667297405
triangular,m,128,145,3.667397398
triangular,m,128,146,3.667157424
triangular,m,128,147,3.666057947
triangular,m,128,148,3.666967467
triangular,m,128,149,3.667447396
triangular,m,128,150,3.667037449
triangular,m,128,151,3.666507653
triangular,m,128,152,3.666077931
triangular,m,128,153,3.667347401
triangular,m,128,154,3.666357739
triangular,m,128,155,3.666067939
triangular,m,128,156,3.667757417
triangular,m,128,157,3.666237816
triangular,m,128,158,3.666617598
triangular,m,128,159,3.667427397
triangular,m,128,160,3.666367733
triangular,m,128,161,3.666227823
triangular,m,128,162,3.665558402
triangular,m,128,163,3.666417703
triangular,m,128,164,3.667657405
triangular,m,128,165,3.666627593
triangular,m,128,166,3.666687567
triangular,m,128,167,3.666897488
triangular,m,128,168,3.666767534
triangular,m,128,169,3.667397398
triangular,m,128,170,3.666977464
triangular,m,128,171,3.666687567
triangular,m,128,172,3.667627402
triangular,m,128,173,3.667007456
triangular,m,128,174,3.667157424
triangular,m,128,175,3.666517648
triangular,m,128,176,3.666867498
triangular,m,128,177,3.667237412
triangular,m,128,178,3.666687567
triangular,m,128,179,3.667137428
triangular,m,128,180,3.66525874
triangular,m,128,181,3.665718241
triangular,m,128,182,3.667087438
triangular,m,128,183,3.666607603
triangular,m,128,184,3.66618785
triangular,m,128,185,3.665858112
triangular,m,128,186,3.667537397
triangular,m,128,187,3.667177421
triangular,m,128,188,3.667867437
triangular,m,128,189,3.667157424
triangular,m,128,190,3.66806749
triangular,m,128,191,3.667447396
triangular,m,128,192,3.667187419
triangular,m,128,193,3.666207836
triangular,m,128,194,3.666907485
triangular,m,128,195,3.666597608
triangular,m,128,196,3.66645768
triangular,m,128,197,3.666717554
triangular,m,128,198,3.668377616
triangular,m,128,199,3.666597608
triangular,m,192,0,3.658243508
triangular,m,192,1,3.658393371
triangular,m,192,2,3.658992947
triangular,m,192,3,3.658323433
triangular,m,192,4,3.658922987
triangular,m,192,5,3.65838338
triangular,m,192,6,3.658833041
triangular,m,192,7,3.659172858
triangular,m,192,8,3.658593208
triangular,m,192,9,3.658783073
triangular,m,192,10,3.658663156
triangular,m,192,11,3.658513271
triangular,m,192,12,3.658483295
triangular,m,192,13,3.658543247
triangular,m,192,14,3.658823047
triangular,m,192,15,3.658433337
triangular,m,192,16,3.658673149
triangular,m,192,17,3.658653163
triangular,m,192,18,3.658793067
triangular,m,192,19,3.658922987
triangular,m,192,20,3.658663156
triangular,m,192,21,3.659282813
triangular,m,192,22,3.658553239
triangular,m,192,23,3.65877308
triangular,m,192,24,3.6586032
triangular,m,192,25,3.659142872
triangular,m,192,26,3.659212841
triangular,m,192,27,3.658902998
triangular,m,192,28,3.658843035
triangular,m,192,29,3.65880306
triangular,m,192,30,3.658633178
triangular,m,192,31,3.658843035
triangular,m,192,32,3.659312802
triangular,m,192,33,3.658912992
triangular,m,192,34,3.660012678
triangular,m,192,35,3.658733107
triangular,m,192,36,3.65964271
triangular,m,192,37,3.659212841
triangular,m,192,38,3.658653163
triangular,m,192,39,3.659342791
triangular,m,192,40,3.65827348
triangular,m,192,41,3.6586032
triangular,m,192,42,3.657903863
triangular,m,192,43,3.658843035
