lattice_type,representation,variant,L,bootstrap,Tc,chi_c
triangular,vertex,ec,96,49,3.679268382,0.8832809384
triangular,vertex,ec,96,50,3.680169479,0.9039724091
triangular,vertex,ec,96,51,3.679298412,0.8849234991
triangular,vertex,ec,96,52,3.678687909,0.8950487691
triangular,vertex,ec,96,53,3.679108233,0.8932172983
triangular,vertex,ec,96,54,3.67828769,0.8936843358
triangular,vertex,ec,96,55,3.679248363,0.8920773009
triangular,vertex,ec,96,56,3.679829013,0.8867627059
triangular,vertex,ec,96,57,3.678447767,0.8999963332
triangular,vertex,ec,96,58,3.678407746,0.8817920435
triangular,vertex,ec,96,59,3.678627871,0.8815619907
triangular,vertex,ec,96,60,3.679108233,0.9007876034
triangular,vertex,ec,96,61,3.676557742,0.9005767654
triangular,vertex,ec,96,62,3.678377731,0.8642577676
triangular,vertex,ec,96,63,3.678737943,0.891463715
triangular,vertex,ec,96,64,3.675988116,0.8971517839
triangular,vertex,ec,96,65,3.677897559,0.8800232057
triangular,vertex,ec,96,66,3.679678827,0.8777530094
triangular,vertex,ec,96,67,3.677967577,0.8921889762
triangular,vertex,ec,96,68,3.677677523,0.8792262119
triangular,vertex,ec,96,69,3.677887557,0.8961188571
triangular,vertex,ec,96,70,3.678677903,0.8993545677
triangular,vertex,ec,96,71,3.6785078,0.8837386451
triangular,vertex,ec,96,72,3.678767964,0.8875702656
triangular,vertex,ec,96,73,3.678187648,0.8737877266
triangular,vertex,ec,96,74,3.679368482,0.8878502175
triangular,vertex,ec,96,75,3.679248363,0.8817494993
triangular,vertex,ec,96,76,3.677967577,0.8958105002
triangular,vertex,ec,96,77,3.679278392,0.8873796069
triangular,vertex,ec,96,78,3.677767534,0.8733897467
triangular,vertex,ec,96,79,3.677197533,0.8819652985
triangular,vertex,ec,96,80,3.677607516,0.8818907561
triangular,vertex,ec,96,81,3.67865789,0.8900006904
triangular,vertex,ec,96,82,3.678187648,0.8762312914
triangular,vertex,ec,96,83,3.679348462,0.8829466335
triangular,vertex,ec,96,84,3.677877555,0.8943620808
triangular,vertex,ec,96,85,3.678147633,0.9027114407
triangular,vertex,ec,96,86,3.679628768,0.9025635259
triangular,vertex,ec,96,87,3.677527512,0.8781599288
triangular,vertex,ec,96,88,3.678988131,0.8919351077
