lattice_type,representation,variant,L,bootstrap,Tc,chi_c
triangular,vertex,m,96,84,3.674489943,85.61391284
triangular,vertex,m,96,85,3.674190455,85.94474475
triangular,vertex,m,96,86,3.676048069,85.47149621
triangular,vertex,m,96,87,3.673731334,84.09864411
triangular,vertex,m,96,88,3.675188938,85.11749425
triangular,vertex,m,96,89,3.675278829,85.4510308
triangular,vertex,m,96,90,3.674230384,85.4198456
triangular,vertex,m,96,91,3.676217944,83.55702178
triangular,vertex,m,96,92,3.675129014,85.77125676
triangular,vertex,m,96,93,3.674859379,85.94920761
triangular,vertex,m,96,94,3.674469975,85.36656618
triangular,vertex,m,96,95,3.674959239,85.82026101
triangular,vertex,m,96,96,3.676207951,86.03589963
triangular,vertex,m,96,97,3.675968133,85.8930467
triangular,vertex,m,96,98,3.675758317,84.42516059
triangular,vertex,m,96,99,3.673811173,87.07186021
triangular,vertex,m,96,100,3.675698374,84.47006786
triangular,vertex,m,96,101,3.67405071,85.20769206
triangular,vertex,m,96,102,3.674020766,85.49610593
triangular,vertex,m,96,103,3.674979212,84.03380716
triangular,vertex,m,96,104,3.675628443,83.0716471
triangular,vertex,m,96,105,3.674250348,84.60610855
triangular,vertex,m,96,106,3.67487935,84.94553591
triangular,vertex,m,96,107,3.674479959,84.03564802
triangular,vertex,m,96,108,3.674719584,84.8949794
triangular,vertex,m,96,109,3.675178951,85.49842946
triangular,vertex,m,96,110,3.673791213,85.57895843
triangular,vertex,m,96,111,3.676048069,84.31029515
triangular,vertex,m,96,112,3.675208914,85.02588958
triangular,vertex,m,96,113,3.674839407,86.22732661
triangular,vertex,m,96,114,3.674210419,84.19937693
triangular,vertex,m,96,115,3.676497774,84.29815089
triangular,vertex,m,96,116,3.673881035,85.85669078
triangular,vertex,m,96,117,3.67334217,86.04029335
triangular,vertex,m,96,118,3.675318781,86.08334927
triangular,vertex,m,96,119,3.674899322,84.98966631
triangular,vertex,m,96,120,3.673561688,86.0259668
triangular,vertex,m,96,121,3.674440025,84.52855692
triangular,vertex,m,96,122,3.673831133,84.55824113
triangular,vertex,m,96,123,3.676337866,85.43972212
triangular,vertex,m,96,124,3.675818262,85.37600617
triangular,vertex,m,96,125,3.677797539,83.08692756
triangular,vertex,m,96,126,3.674829422,83.54980954
triangular,vertex,m,96,127,3.675258853,84.34030921
triangular,vertex,m,96,128,3.673581646,84.30086399
triangular,vertex,m,96,129,3.675508568,84.57349614
triangular,vertex,m,96,130,3.674110599,85.8828345
triangular,vertex,m,96,131,3.675698374,84.85837345
triangular,vertex,m,96,132,3.674210419,83.79875567
triangular,vertex,m,96,133,3.674410075,83.55028136
triangular,vertex,m,96,134,3.674459992,85.24908669
triangular,vertex,m,96,135,3.675298805,85.02574887
triangular,vertex,m,96,136,3.675438644,84.52940081
triangular,vertex,m,96,137,3.674959239,85.25382823
triangular,vertex,m,96,138,3.675188938,84.62625034
triangular,vertex,m,96,139,3.674360159,84.74178941
triangular,vertex,m,96,140,3.674849393,86.38704068
triangular,vertex,m,96,141,3.674370142,85.95865003
triangular,vertex,m,96,142,3.674350176,85.05824182
triangular,vertex,m,96,143,3.675718355,85.52899682
triangular,vertex,m,96,144,3.675838244,85.93420633
triangular,vertex,m,96,145,3.675019158,84.74229154
triangular,vertex,m,96,146,3.676118015,82.66844113
triangular,vertex,m,96,147,3.673861074,83.38503877
triangular,vertex,m,96,148,3.673741314,86.48157786
triangular,vertex,m,96,149,3.675738336,84.76056267
triangular,vertex,m,96,150,3.67405071,86.50349962
triangular,vertex,m,96,151,3.674839407,86.97178744
triangular,vertex,m,96,152,3.674769509,87.42851083
triangular,vertex,m,96,153,3.673002966,85.57603925
triangular,vertex,m,96,154,3.675358735,84.04091425
triangular,vertex,m,96,155,3.675059105,85.74279999
triangular,vertex,m,96,156,3.675358735,86.16941315
triangular,vertex,m,96,157,3.676187965,85.78723387
triangular,vertex,m,96,158,3.673891015,85.24556211
triangular,vertex,m,96,159,3.674549846,83.48642224
triangular,vertex,m,96,160,3.675139001,84.68017964
triangular,vertex,m,96,161,3.675548525,84.42818314
triangular,vertex,m,96,162,3.676387835,84.57500042
triangular,vertex,m,96,163,3.674609752,84.30753854
triangular,vertex,m,96,164,3.673601604,85.52499796
triangular,vertex,m,96,165,3.675898191,85.853551
triangular,vertex,m,96,166,3.674909308,83.25663021
triangular,vertex,m,96,167,3.674440025,85.05029609
triangular,vertex,m,96,168,3.675408678,84.15556786
triangular,vertex,m,96,169,3.676797638,85.18700746
triangular,vertex,m,96,170,3.674190455,85.38271577
triangular,vertex,m,96,171,3.674769509,84.88252263
triangular,vertex,m,96,172,3.674819436,85.68639229
triangular,vertex,m,96,173,3.675228889,83.35381772
triangular,vertex,m,96,174,3.674010785,84.75528125
triangular,vertex,m,96,175,3.674020766,85.81750575
triangular,vertex,m,96,176,3.676068053,82.95356275
triangular,vertex,m,96,177,3.673481861,84.98277379
triangular,vertex,m,96,178,3.674489943,83.61826552
triangular,vertex,m,96,179,3.674260331,86.88822218
triangular,vertex,m,96,180,3.674410075,83.90524618
triangular,vertex,m,96,181,3.675568505,84.48676497
triangular,vertex,m,96,182,3.674360159,85.29769852
triangular,vertex,m,96,183,3.673910976,84.77528708
triangular,vertex,m,96,184,3.673402036,85.63328574
triangular,vertex,m,96,185,3.674829422,85.20802166
triangular,vertex,m,96,186,3.674140545,85.55439381
triangular,vertex,m,96,187,3.675328769,85.16835608
triangular,vertex,m,96,188,3.675099053,85.44372891
triangular,vertex,m,96,189,3.672873287,86.05039905
triangular,vertex,m,96,190,3.675288817,84.75719589
triangular,vertex,m,96,191,3.673392058,84.8041304
triangular,vertex,m,96,192,3.674240366,84.6288159
triangular,vertex,m,96,193,3.675898191,82.91526461
triangular,vertex,m,96,194,3.674839407,85.22866681
triangular,vertex,m,96,195,3.675818262,84.50476377
triangular,vertex,m,96,196,3.674320227,85.55758834
triangular,vertex,m,96,197,3.674629721,85.59362654
triangular,vertex,m,96,198,3.674120581,84.26240456
triangular,vertex,m,96,199,3.674839407,85.17983126
triangular,vertex,m,128,0,3.665988002,140.9315618
triangular,vertex,m,128,1,3.666687567,141.7998421
triangular,vertex,m,128,2,3.666077931,142.4861676
triangular,vertex,m,128,3,3.666377727,143.1868537
triangular,vertex,m,128,4,3.666867498,139.7679997
triangular,vertex,m,128,5,3.666157872,142.558703
triangular,vertex,m,128,6,3.666967467,138.5873497
triangular,vertex,m,128,7,3.666327757,138.7027756
triangular,vertex,m,128,8,3.667747416,140.7007154
triangular,vertex,m,128,9,3.666897488,140.4771434
triangular,vertex,m,128,10,3.665318669,141.4709653
triangular,vertex,m,128,11,3.666287783,141.8773813
triangular,vertex,m,128,12,3.667117432,141.7385353
triangular,vertex,m,128,13,3.66621783,139.137048
triangular,vertex,m,128,14,3.665578381,141.4823142
triangular,vertex,m,128,15,3.665848121,144.5895738
